"","id","tot_bone_chuckbrisket","tot_bone_chuckclod","tot_bone_chuckroll","tot_bone_loinwing","tot_bone_plate","tot_bone_rib","tot_bone_round","tot_bone_sirloin","tot_bone_vol_chuckbrisket","tot_bone_vol_chuckclod","tot_bone_vol_chuckroll","tot_bone_vol_loinwing","tot_bone_vol_plate","tot_bone_vol_rib","tot_bone_vol_round","tot_bone_vol_sirloin","tot_fat_chuckbrisket","tot_fat_chuckclod","tot_fat_chuckroll","tot_fat_loinwing","tot_fat_plate","tot_fat_rib","tot_fat_round","tot_fat_sirloin","tot_fat_vol_chuckbrisket","tot_fat_vol_chuckclod","tot_fat_vol_chuckroll","tot_fat_vol_loinwing","tot_fat_vol_plate","tot_fat_vol_rib","tot_fat_vol_round","tot_fat_vol_sirloin","tot_musc_chuckbrisket","tot_musc_chuckclod","tot_musc_chuckroll","tot_musc_loinwing","tot_musc_plate","tot_musc_rib","tot_musc_round","tot_musc_sirloin","tot_musc_vol_chuckbrisket","tot_musc_vol_chuckclod","tot_musc_vol_chuckroll","tot_musc_vol_loinwing","tot_musc_vol_plate","tot_musc_vol_rib","tot_musc_vol_round","tot_musc_vol_sirloin","tot_vol_chuckbrisket","tot_vol_chuckclod","tot_vol_chuckroll","tot_vol_loinwing","tot_vol_plate","tot_vol_rib","tot_vol_round","tot_vol_sirloin","tot_wt_chuckbrisket","tot_wt_chuckclod","tot_wt_chuckroll","tot_wt_loinwing","tot_wt_plate","tot_wt_rib","tot_wt_round","tot_wt_sirloin"
"43","305247",2.51500876556638,6.97347831101698,7.76464103948218,2.98348110285007,5.2901461297273,3.84205369963576,10.985029384547,4.19028140694235,620.668039168,1720.954284032,1916.2018816,736.280283136,1305.532080128,948.163667968,2710.947469312,1034.101264384,18.6746879600659,5.10121085982495,18.2306217042116,16.2067577520331,26.5034464961345,13.0560592733958,12.8183888400381,20.5312810289668,9122.51552768,2567.291387904,8936.3059712,7930.1952,12782.670688256,6379.431954432,6420.080277504,10053.2965888,12.1884905407346,19.1496681946357,35.293002049533,17.3880881009117,16.6730947089093,13.1475194749281,53.820016917131,20.1481085212717,5174.613829632,8030.9777408,15011.561357312,7379.37765376,7118.227038208,5591.514431488,22654.040502272,8515.244517376,14917.79739648,12319.223412736,25864.069210112,16045.853136896,21206.429806592,12919.110053888,31785.068249088,19602.64237056,33.3781872663669,31.2243573654776,61.2882647932267,36.5783269557948,48.4666873347711,30.0456324479597,77.6234351417161,44.8696709571808
"44","305248",2.7701657705743,8.59591619073634,9.42419603405323,2.92684816721113,5.72647294574592,4.33377827276248,12.7133838232858,3.86768365415066,683.637123072,2121.34864896,2325.756217344,722.304088064,1413.211271168,1069.51422976,3137.48051968,954.488772608,16.8974452706646,4.14175704639355,13.7804177137524,12.1380358169017,20.2978030388472,10.4566256191036,11.0230194285602,19.4306418677236,8204.796188672,2129.106427904,6789.862660096,5997.929076736,9748.449406976,5122.740350976,5590.234169344,9535.765858304,16.238907684458,25.9528337788514,44.5216932555866,20.3391107979312,19.6506868881064,16.2381193939229,64.9304609310014,22.2012365849558,6872.134744064,10889.574490112,18923.013687296,8631.725510656,8327.19077376,6876.280354816,27352.328228864,9380.709347328,15760.568055808,15140.029566976,28038.632564736,15351.958675456,19488.851451904,13068.534935552,36080.042917888,19870.96397824,35.9065187256969,38.6905070159813,67.7263070033922,35.403994782044,45.6749628726995,31.0285232857889,88.6668641828475,45.4995621068301
"45","305249",2.42885506304041,7.12735067649616,8.1488742009627,3.09137394751879,4.75006431711826,4.86150830006314,11.7056325394381,3.40974121384236,599.406542848,1758.927773696,2011.025106944,762.906687488,1172.247646208,1199.75042048,2888.7819776,841.475155968,12.2859657596378,5.07394171990807,11.0670834556066,12.1760105676843,14.2995378370367,8.70009936283811,11.368585299588,16.3289178717421,5971.348396032,2505.42729216,5433.363953664,6008.62078976,6876.592799744,4275.039158272,5703.865055232,8078.75895296,13.7658317371142,20.6922698453103,43.4400348425786,22.119639713751,19.7124104884079,16.218592955842,57.6923009050127,20.8343766604989,5802.048968704,8609.854365696,18374.08605184,9367.8228992,8341.1364864,6869.155086336,24278.068273152,8796.566882304,12372.803907584,12874.209431552,25818.475112448,16139.350376448,16389.976932352,12343.944665088,32870.715305984,17716.800991232,28.4806525597924,32.8935622417146,62.6559924991479,37.3870242289541,38.7620126425628,29.7802006187433,80.7665187440387,40.5730357460834
"46","312242",1.74129293384927,5.01192216565597,5.85443744154077,2.38565469392434,4.21535553111836,3.11715829935004,9.06692064400825,3.2763728119751,429.72608512,1236.870402048,1444.79107072,588.745312256,1040.28919808,769.269895168,2237.585782784,808.561750016,16.6794287336485,4.95168578313974,16.880953114503,17.258645664947,24.5129357244044,10.4193144011203,12.2907879083826,17.6971549211375,8152.625506304,2497.219897344,8267.414724608,8467.56237312,11688.633341952,5087.258800128,6158.82297344,8712.740194304,10.1085515221743,15.3938750666777,31.6737131809871,17.1927466494656,11.5878696136334,11.8924555868504,47.2260211913302,18.0723937155074,4326.394435584,6475.863128064,13581.112270848,7337.555757056,4926.87548416,5084.4696576,19937.743366144,7694.009696256,12908.746027008,10209.953427456,23293.318066176,16393.863442432,17655.798024192,10940.998352896,28334.152122368,17215.311640576,28.529273189672,25.3574830154734,54.4091037370309,36.837047008337,40.3161608691561,25.4289282873208,68.583729743721,39.04592144862
"47","312243",3.99323955181037,7.95593931444576,9.10326577227817,3.29567247651944,5.97458943312806,4.70633899712658,13.4778666954849,5.01473219681363,985.474164736,1963.41154816,2246.5552384,813.324630016,1474.442856448,1161.45686528,3326.143911936,1237.563877376,16.4883964807248,3.65594901942296,9.81994019253131,11.8000743873493,14.2293551770488,8.33716503696329,11.5199919489973,14.362002088489,7963.84018432,1874.044678144,4919.910248448,5788.674801664,6818.584731648,4061.182035968,5872.55483392,7043.225014272,17.8691751512131,24.2564774662065,46.134960327512,23.141010870075,22.5114863567621,15.3144991076254,70.0727764305803,28.8240642767742,7533.27583232,10113.76611328,19461.264850944,9748.220788736,9475.639261184,6454.494943232,29519.690108928,12161.286311936,16482.590181376,13951.222339584,26627.730337792,16350.220220416,17768.66684928,11677.13384448,38718.388854784,20442.075203584,38.3508111837483,35.8683658000752,65.0581662923215,38.2367577339438,42.7154309669389,28.3580031417153,95.0706350750624,48.2007985620768
"48","319241",2.83745212104171,7.50602553458791,8.15767484799492,3.34776613105755,6.11144721434494,4.03755158160419,12.2185095449054,4.21232934371781,700.242427904,1852.3792896,2013.196980224,826.180595712,1508.217391104,996.409737216,3015.352655872,1039.542378496,17.2155109276268,3.76742628061771,14.4253766302293,16.6122034075863,21.4976657641382,9.63284667865405,17.062653676285,23.4716814459898,8336.396468224,1933.866450944,7060.546656256,8203.264446464,10381.539037184,4724.73885696,8483.672338432,11572.50289664,19.0584832890626,22.4578563088094,46.7193342071315,21.0314146995475,20.9270763220216,14.6019720842274,61.0489571586154,24.1353657277963,8026.321549312,9355.812820992,19730.843858944,8870.601089024,8856.97544192,6157.771329536,25596.075288576,10171.850387456,17062.96044544,13142.058561536,28804.587495424,17900.0461312,20746.731870208,11878.919923712,37095.10028288,22783.895662592,39.1114463377311,33.7313081240151,69.3023856853557,40.9913842381913,48.5361893005047,28.2723703444856,90.3301203798058,51.8193765175039
"49","319242",2.62688506099705,7.6371397356364,8.65359902812649,3.0214010837468,5.16261394641824,4.04415978674418,14.2177077559937,3.56293423112958,648.277501952,1884.736391168,2135.583944704,745.63838976,1274.058969088,998.040547328,3508.726059008,879.280992256,10.2696505338482,3.56684294014995,7.19426821125617,6.46243380143189,9.06512965765131,5.12760293595794,12.4813311892055,12.4059341897845,4925.023676416,1808.385519616,3590.319908864,3237.08186624,4378.046916608,2515.928489984,6265.709621248,6242.817314816,14.3417236350101,21.9891971783259,47.0752304356719,18.9138898061387,19.838276361781,13.3540188451023,61.921898433693,23.9151615783822,6014.046662656,9162.645649408,19899.449810944,7946.42709504,8322.138310656,5597.48898816,25962.42077696,10030.632900608,11587.347841024,12855.767560192,25625.353664512,11929.14735104,13974.244196352,9111.458025472,35736.856457216,17152.73120768,27.2382592298553,33.1931798541123,62.9230976750546,28.3977246913174,34.0660199658506,22.5257815678044,88.6209373788922,39.8840299992963
"50","319243",3.04974843102954,9.87562290761135,11.4344799724558,4.30166363096069,6.78097573698584,5.19077601692136,16.0726988736067,5.4274053439667,752.634107904,2437.161885696,2821.865418752,1061.58879744,1673.44741376,1281.008963584,3966.511222784,1339.405682688,20.2856896120822,7.4439359017628,20.1251586682886,19.8777574470552,25.4291953698132,11.0058581937283,25.3727767722586,26.43978954339,9805.725896704,3710.458793984,9931.694546944,9743.457908736,12262.526089216,5432.746684416,12486.526240768,13012.310089728,20.2226558610044,30.0854617621844,56.8668033057047,28.9857152627182,26.1717609441831,20.6424619571899,76.9442346396084,29.5239383970875,8545.170644992,12631.607375872,24151.352803328,12301.429293056,11113.559400448,8738.863638528,32422.394937344,12497.919049728,19103.5306496,18779.228055552,36904.912769024,23106.475999232,25049.532903424,15452.619286528,48875.432400896,26849.634822144,43.5580939041161,47.4050205715586,88.4264419464491,53.1651363407341,58.3819320509822,36.8390961678396,118.389710285474,61.3911332844442
"51","319245",3.04548706509815,8.73935129762994,9.66891578047557,3.56985123090227,5.80398039855602,4.60085475059299,13.525174033216,4.37024691888548,751.582464,2156.74637312,2386.149535744,880.988008448,1432.338997248,1135.424868352,3337.818683392,1078.514167808,16.3668108322685,4.94681326458056,13.4946824092835,12.3450876260499,17.3380725878821,9.90343230944304,14.7708287109389,17.6400652493398,7948.06552576,2484.059107328,6630.439540736,6128.485332992,8384.718743552,4852.856518656,7394.900832256,8887.168290816,16.9287403718472,24.0784507904152,46.9964291249505,19.4128884981828,18.8949518721618,16.6995984507593,54.2707849933008,21.4090259896255,7158.448607232,10045.310191616,19928.972046336,8202.799589376,7994.977988608,7054.633064448,22806.064011264,9046.08082944,15858.096596992,14686.115672064,28945.561122816,15212.272930816,17812.035729408,13042.914451456,33538.783526912,19011.763288064,36.3410382692138,37.7646153526257,70.1600273147095,35.3278273551349,42.0370048585999,31.2038855107953,82.5667877374556,43.4193381578507
"52","319246",3.01503991431299,8.77477004200173,8.07006981069522,2.33674162410314,4.93642187795848,4.70473326503649,13.1647798173806,3.87960312697325,744.068544512,2165.487210496,1991.577315328,576.674269184,1218.238015488,1161.060593664,3248.878567424,957.430327296,23.7010657832968,8.62559439987658,18.7991502600218,16.7429232093425,22.3194466339643,11.4029756096517,24.1740215948637,21.7488009505671,11450.862751744,4240.56352768,9251.829624832,8292.562731008,10730.052302848,5566.617905152,11915.31594752,10718.217498624,23.2403350171702,30.7957811690717,52.8597383347404,27.3743725381258,22.5362498332016,17.6081662352347,69.023875675307,24.5174840206956,9841.161723904,12859.12824832,22381.733316608,11535.20002048,9570.668242944,7428.629643264,29108.85551104,10342.57486848,22036.09302016,19265.178986496,33625.140256768,20404.437020672,21518.95856128,14156.30814208,44273.050025984,22018.2226944,49.95644071478,48.19614561095,79.7289584054574,46.4540373715713,49.7921183451244,33.7158751099229,106.362677087551,50.1458880982359
"53","319247",3.30265123521868,8.75500718550832,10.7538966019639,3.99802586861737,6.52168088389961,5.31333660664379,14.7851178935976,5.00346119271973,815.046887424,2160.610021376,2653.907218432,986.655358976,1609.457168384,1311.255156736,3648.754731008,1234.782355456,14.1163097340649,6.9960156728368,12.3827785075381,13.3040877899248,15.1222318687056,9.35720233521467,15.9681007836661,21.1536273045998,6795.098017792,3476.384198656,6230.45668864,6553.509502976,7226.454913024,4561.299677184,7972.878225408,10350.492680192,18.8080831007259,29.7777570858212,63.6306700317848,24.7306705809054,22.0083007088848,18.1795718528147,72.0829688878169,30.5186868194483,7874.938171392,12400.184752128,26823.686651904,10417.401618432,9219.2210432,7649.22338304,30244.348964864,12843.711758336,15485.083076608,18037.17897216,35708.050558976,17957.566480384,18055.133124608,13521.77821696,41865.98192128,24428.986793984,36.2270440700094,45.5287799441663,86.7673451412868,42.0327842394476,43.65221346149,32.8501107946731,102.836187565081,56.6757753167678
"54","319248",3.1002981124041,7.89853439222505,7.21575857984091,2.63398733754937,6.03332217226942,4.0483902732123,11.9072136756709,3.51013034893624,765.1090432,1949.244837888,1780.7455744,650.030241792,1488.937252864,999.084570624,2938.529306624,866.249752576,12.0196782168126,3.55995750362408,8.78956397687252,8.01971311991789,12.6722154925388,6.35605879830693,10.1469016959958,12.2493135601385,5849.563459584,1859.984656384,4362.653288448,4006.57275904,6149.967826944,3137.960617984,5165.903474688,6123.105183744,17.3618523393771,22.8877084019643,38.9044763574805,18.5455758940368,18.7742963171713,12.8827746751282,56.5196302883142,20.6973015836239,7322.139267072,9587.250685952,16424.521148416,7821.86825728,7926.826891264,5428.471523328,23846.604689408,8723.012773888,13936.811769856,13396.480180224,22567.920011264,12478.471258112,15565.731971072,9565.516711936,31951.03747072,15712.367710208,32.4818286685938,34.3462002978134,54.909798914194,29.1992763515041,37.4798339819795,23.2872237466474,78.5737456599809,36.4567454926986
"55","521241",3.47600854202184,8.93154507702838,10.5896178573624,4.15893875172232,5.6359034799722,5.29622938399168,13.7321590755212,4.95643177015806,857.828980736,2204.177037312,2613.365583872,1026.366347264,1390.860027904,1307.033339904,3388.899618816,1223.176169472,13.8331422511816,3.76509516843065,8.6179423254011,9.14828710401535,12.3029384251127,7.3203909560661,10.9432220505173,15.4479772895128,6623.367616512,1925.819088896,4273.530277888,4484.864978944,5848.793778176,3548.299876352,5478.432229376,7683.21129472,15.9347786906722,24.915985983045,48.0013766590408,21.3563920009301,19.645338975338,15.7943254384846,58.8152683200114,25.9607744711368,6708.748908544,10372.424790016,20255.492237312,9052.154454016,8282.72452608,6673.305460736,24713.875603456,10965.02612992,14189.945505792,14502.420916224,27142.388099072,14563.385780224,15522.37833216,11528.638676992,33581.207451648,19871.413594112,33.2439294838756,37.612626228504,67.2089368418043,34.6636178566677,37.5841808804228,28.4109457785424,83.4906494460499,46.3651835308077
"56","523241",4.2837844217268,8.65900293419891,9.63411462536919,4.30709841649638,5.58729920478372,4.78082026253613,14.2615257143752,5.43456937944556,1057.176465408,2136.917551104,2377.561110528,1062.930024448,1378.865190912,1179.837771776,3519.53970176,1341.173663744,12.1394919657132,3.54920337638377,7.31178669570005,8.40715612600283,10.4366546955098,5.73263127608339,9.03824858421671,12.458139175036,5887.590293504,1811.509968896,3638.162085888,4173.646968832,5032.03987456,2814.610599936,4625.25181952,6102.910572544,16.8317988075273,26.3939224990924,46.4658683799398,22.6854943973479,23.7750979487465,16.655653962181,68.0957809998072,27.9556233656014,7089.779308544,10940.282015744,19529.545498624,9557.9570688,9985.381730304,6994.780809216,28563.242840064,11739.363729408,14034.546067456,14888.709535744,25545.26869504,14794.53406208,16396.286795776,10989.229180928,36708.034361344,19183.447965696,33.2550751949673,38.6021288096751,63.4117697010091,35.3997489398471,39.79905184904,27.1691055008005,91.3955552983991,45.848331920083
"57","5232410",3.39550578127445,8.59875710135727,9.73669620235531,3.76167445674146,5.47156297644417,5.03023368737565,13.7011560943972,4.47289025479814,837.96205568,2122.049744896,2402.876770304,928.327225344,1350.303152128,1241.389422592,3381.248528384,1103.8450688,10.8022742991747,2.65627173742696,5.91422765445407,5.38007268137958,7.6931152535505,3.98355959778101,10.2138751914667,9.31182534665518,5286.141427712,1384.55016448,2985.90662656,2788.852944896,3872.587229184,1982.722168832,5193.528178688,4577.950705664,13.903384024677,24.2614540720777,42.0004096308704,19.0313464889825,20.3747378530117,13.2836032598781,60.3968288990208,25.2285365782835,5851.97919232,10046.110355456,17645.8988544,8015.789869056,8576.544688128,5593.777752064,25354.120984576,10616.025145344,11976.082675712,13552.710264832,23034.682251264,11732.970039296,13799.43506944,8817.889343488,33928.897691648,16297.820919808,28.1011641051261,35.5164829108619,57.6513334876797,28.1730936271036,33.5394160830064,22.2973965450347,84.3118601848847,39.0132521797368
